City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,76.77,73,40,4.0,PT,1691338418
1,waitangi,-43.9535,-176.5597,43.83,64,75,11.7,NZ,1691338122
2,udachny,66.4167,112.4,53.46,66,53,9.08,RU,1691338419
3,ocean shores,46.9737,-124.1563,64.96,97,100,5.75,US,1691338419
4,port-aux-francais,-49.35,70.2167,40.3,90,93,29.89,TF,1691338419
5,papatowai,-46.5619,169.4708,42.78,94,97,5.64,NZ,1691338419
6,puerto rico,-26.796,-55.024,85.96,29,0,7.14,AR,1691338077
7,matoury,4.8483,-52.3317,89.56,58,20,5.75,GF,1691338420
8,zhezqazghan,47.7833,67.7667,80.58,37,37,13.78,KZ,1691338420
9,grytviken,-54.2811,-36.5092,18.52,74,17,2.71,GS,1691338420
10,fort st. john,56.2499,-120.8529,66.09,68,75,3.44,CA,1691338420
11,blackmans bay,-43.0167,147.3167,42.53,93,21,5.03,AU,1691338420
12,nurota,40.5614,65.6886,83.97,26,27,7.96,UZ,1691338420
13,bethel,41.3712,-73.414,82.98,54,0,4.61,US,1691338274
14,badger,64.8,-147.5333,67.71,73,100,5.75,US,1691338421
15,sur,22.5667,59.5289,89.91,57,68,11.59,OM,1691338421
16,port mathurin,-19.6833,63.4167,73.45,62,30,25.75,MU,1691338421
17,jamestown,42.097,-79.2353,82.02,60,75,8.05,US,1691338315
18,sipalay,9.75,122.5,78.22,91,39,4.65,PH,1691338421
19,katsuura,35.1333,140.3,79.54,89,11,12.28,JP,1691338421
20,chonchi,-42.6128,-73.8092,52.12,66,42,2.08,CL,1691338421
21,la passe,45.5549,-0.8967,73.63,58,31,15.32,FR,1691338422
22,kingston,17.997,-76.7936,91.24,67,25,1.99,JM,1691338255
23,kidal,18.4411,1.4078,100.35,26,5,16.4,ML,1691338422
24,bilibino,68.0546,166.4372,34.48,89,100,7.76,RU,1691338422
25,alofi,-19.0595,-169.9187,74.41,86,96,10.89,NU,1691338422
26,mananjary,-21.2167,48.3333,66.99,81,24,3.24,MG,1691338423
27,albany,42.6001,-73.9662,78.93,56,6,1.99,US,1691338423
28,tazovsky,67.4667,78.7,61.93,65,3,4.09,RU,1691338423
29,puerto ayora,-0.7393,-90.3518,84.16,91,41,8.01,EC,1691338423
30,machico,32.7,-16.7667,84.7,72,20,6.91,PT,1691338423
31,touros,-5.1989,-35.4608,84.34,60,1,18.79,BR,1691338424
32,carnarvon,-24.8667,113.6333,67.95,79,3,6.02,AU,1691338424
33,alice springs,-23.7,133.8833,49.55,71,0,4.61,AU,1691338424
34,smara,26.7384,-11.6719,92.7,28,0,11.01,EH,1691338424
35,hamilton,39.1834,-84.5333,83.77,71,20,20.71,US,1691338375
36,bamboo flat,11.7,92.7167,82.2,84,79,14.47,IN,1691338424
37,priozersk,61.0393,30.1291,71.1,96,43,7.7,RU,1691338425
38,adamstown,-25.066,-130.1015,68.83,72,12,23.8,PN,1691338425
39,anadyr,64.75,177.4833,52.3,81,75,6.71,RU,1691338425
40,port elizabeth,-33.918,25.5701,61.11,88,20,9.22,ZA,1691338404
41,yashikira,9.7667,3.4,75.72,86,100,5.91,NG,1691338425
42,broken hill,-31.95,141.4333,44.92,76,54,9.19,AU,1691338426
43,talnakh,69.4865,88.3972,65.21,57,36,6.6,RU,1691338426
44,mata-utu,-13.2816,-176.1745,80.65,82,13,3.36,WF,1691338426
45,iqaluit,63.7506,-68.5145,47.93,81,20,4.61,CA,1691338426
46,new norfolk,-42.7826,147.0587,43.72,97,25,3.06,AU,1691338426
47,puerto natales,-51.7236,-72.4875,34.86,69,45,8.5,CL,1691338217
48,keflavik,64.0049,-22.5624,53.51,100,75,2.3,IS,1691338426
49,el calafate,-50.3408,-72.2768,29.89,66,0,8.55,AR,1691338427
50,nouadhibou,20.931,-17.0347,76.98,61,75,20.71,MR,1691338427
51,longyearbyen,78.2186,15.6401,53.44,71,75,8.05,SJ,1691338427
52,kayangel,8.0823,134.7173,82.98,80,100,17.09,PW,1691338427
53,vilyuchinsk,52.9306,158.4028,59.27,86,100,7.85,RU,1691338427
54,weno,7.4515,151.8468,80.82,80,100,19.22,FM,1691338427
55,pisco,-13.7,-76.2167,69.85,68,20,9.22,PE,1691338427
56,atafu village,-8.5421,-172.5159,82.87,76,98,6.98,TK,1691338428
57,constantia,44.1833,28.65,81.28,74,10,11.81,RO,1691338428
58,vanimo,-2.6741,141.3028,76.35,91,99,3.27,PG,1691338428
59,harnai,30.1005,67.9374,93.83,37,2,5.46,PK,1691338428
