City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tikhvin,59.6451,33.5294,74.21,76,35,5.06,RU,1691345390
1,port-aux-francais,-49.35,70.2167,40.71,91,97,29.1,TF,1691345247
2,kone,-21.0595,164.8658,60.35,91,55,5.28,NC,1691345391
3,albany,42.6001,-73.9662,82.67,46,30,1.99,US,1691345366
4,adamstown,-25.066,-130.1015,68.65,69,14,22.28,PN,1691345391
5,pacific grove,36.6177,-121.9166,75.2,91,20,10.0,US,1691345267
6,the pas,53.8251,-101.2541,76.17,37,5,12.24,CA,1691345391
7,enewetak,11.3474,162.3373,82.9,76,100,8.57,MH,1691345255
8,waitangi,-43.9535,-176.5597,43.83,69,52,13.44,NZ,1691345392
9,katsuura,35.1333,140.3,78.49,90,36,10.02,JP,1691345279
10,biloela,-24.4167,150.5,53.28,89,1,6.64,AU,1691345392
11,yellowknife,62.456,-114.3525,64.92,48,40,5.75,CA,1691345138
12,tazacorte,28.629,-17.9293,77.97,75,20,16.11,ES,1691345393
13,broome,42.2506,-75.833,84.56,60,0,4.61,US,1691345393
14,lerik,38.7726,48.4128,68.72,61,1,4.63,AZ,1691345393
15,crane,31.3974,-102.3501,100.9,21,0,15.99,US,1691345165
16,stanley,54.868,-1.6985,59.29,68,20,3.44,GB,1691345394
17,dryden,49.7833,-92.7503,80.6,32,27,5.68,CA,1691345394
18,bilibino,68.0546,166.4372,34.68,89,100,8.55,RU,1691345394
19,tiksi,71.6872,128.8694,38.93,67,84,5.1,RU,1691345394
20,klyuchi,52.2667,79.1667,64.8,80,51,3.31,RU,1691345395
21,zemio,5.0314,25.1361,71.92,89,89,2.39,CF,1691345395
22,puerto natales,-51.7236,-72.4875,37.24,68,26,8.16,CL,1691345395
23,el bauga,18.262,33.9081,95.11,36,100,5.21,SD,1691345395
24,edinburgh of the seven seas,-37.0676,-12.3116,50.68,69,17,42.99,SH,1691345396
25,mar del plata,-38.0023,-57.5575,62.62,62,0,8.05,AR,1691345282
26,yeniseysk,58.4497,92.1703,53.56,88,98,1.61,RU,1691345396
27,al jawf,29.5,38.75,90.5,14,0,8.01,SA,1691345396
28,formosa do rio preto,-11.0483,-45.1931,92.98,18,0,7.16,BR,1691345104
29,fale old settlement,-9.3852,-171.2468,82.83,73,54,10.63,TK,1691345397
30,port mathurin,-19.6833,63.4167,72.9,63,74,26.15,MU,1691345397
31,arraial do cabo,-22.9661,-42.0278,76.86,69,0,21.85,BR,1691345321
32,howard springs,-12.497,131.047,75.11,58,57,6.13,AU,1691345397
33,miyaly,48.8844,53.7836,90.34,28,32,17.0,KZ,1691345397
34,burang,30.25,81.1667,53.85,78,100,5.26,CN,1691345398
35,west island,-12.1568,96.8225,78.78,89,40,8.05,CC,1691345398
36,sisimiut,66.9395,-53.6735,49.68,69,5,9.57,GL,1691345279
37,flying fish cove,-10.4217,105.6791,74.88,94,100,12.66,CX,1691345398
38,iqaluit,63.7506,-68.5145,49.69,76,96,5.01,CA,1691345398
39,kerikeri,-35.2268,173.9474,47.91,94,100,3.06,NZ,1691345294
40,ushuaia,-54.8,-68.3,29.86,86,75,31.07,AR,1691345399
41,daru,-9.0763,143.2092,76.62,67,43,13.58,PG,1691345399
42,raduzhny,62.0961,77.475,62.82,51,1,7.18,RU,1691345399
43,rioja,-29.4111,-66.8507,78.62,30,0,12.24,AR,1691345355
44,grytviken,-54.2811,-36.5092,17.49,78,36,3.4,GS,1691345399
45,zouerate,22.7187,-12.4521,97.32,11,6,13.98,MR,1691345400
46,guarapari,-20.6667,-40.4975,77.9,65,1,17.34,BR,1691345400
47,san antonio de pale,-1.4014,5.6325,74.21,79,28,12.86,GQ,1691345400
48,lebu,-37.6167,-73.65,56.59,63,15,2.68,CL,1691345401
49,puerto baquerizo moreno,-0.9,-89.6,79.79,69,40,14.97,EC,1691345278
50,tura,25.5198,90.2201,75.83,99,100,4.79,IN,1691345402
51,yazykovo,55.2199,56.1353,67.66,65,19,8.32,RU,1691345402
52,puerto rico,-26.796,-55.024,88.7,26,0,6.58,AR,1691345403
53,talnakh,69.4865,88.3972,60.3,62,24,3.33,RU,1691345245
54,taoudenni,22.6783,-3.9836,116.87,5,5,13.42,ML,1691345404
55,tupiza,-21.45,-65.7167,69.76,8,1,23.82,BO,1691345404
56,booue,-0.0921,11.9385,81.61,58,97,2.1,GA,1691345404
57,khanty-mansiysk,61.0042,69.0019,62.71,77,0,0.0,RU,1691345405
58,krasnozerskoye,53.9828,79.2374,60.75,63,0,8.05,RU,1691345405
59,kingston,17.997,-76.7936,97.66,36,14,12.55,JM,1691345232
60,isafjordur,66.0755,-23.124,57.24,58,0,9.22,IS,1691345405
61,constantia,44.1833,28.65,75.88,82,3,11.65,RO,1691345261
62,hamilton,39.1834,-84.5333,87.75,62,69,8.01,US,1691344845
63,sitka,57.0531,-135.33,66.09,82,100,0.0,US,1691345406
64,fredericksburg,38.3032,-77.4605,91.0,64,75,9.22,US,1691345115
65,regina,50.4501,-104.6178,73.04,56,0,7.0,CA,1691345406
66,xam nua,20.4197,104.0439,68.04,96,100,4.74,LA,1691345406
67,bredasdorp,-34.5322,20.0403,52.43,91,27,1.1,ZA,1691345407
68,korla,41.7597,86.1469,87.21,24,86,9.13,CN,1691345407
69,whitehorse,60.7161,-135.0538,71.02,51,45,8.01,CA,1691345407
70,chibougamau,49.9168,-74.3659,70.65,51,73,8.39,CA,1691345407
71,veraval,20.9,70.3667,81.1,82,80,19.08,IN,1691345408
72,tazovsky,67.4667,78.7,59.54,63,19,6.49,RU,1691345408
73,keflavik,64.0049,-22.5624,52.23,93,75,3.44,IS,1691345408
74,illizi,26.4833,8.4667,105.22,8,0,11.23,DZ,1691345408
75,lihue,21.9789,-159.3672,81.99,74,20,9.22,US,1691345408
76,puerto ayora,-0.7393,-90.3518,85.96,83,42,8.01,EC,1691345265
77,long beach,33.767,-118.1892,93.97,72,0,10.36,US,1691345409
78,orkney,-26.9802,26.6727,53.04,20,0,5.37,ZA,1691345409
79,edd,13.9297,41.6925,89.82,76,60,6.42,ER,1691345409
80,olonkinbyen,70.9221,-8.7187,38.21,91,100,25.37,SJ,1691345409
81,fortuna,40.5982,-124.1573,61.66,97,100,8.05,US,1691345410
82,ilulissat,69.2167,-51.1,50.02,57,0,4.61,GL,1691345410
83,khandyga,62.6667,135.6,57.13,44,97,10.22,RU,1691345410
84,qaqortoq,60.7167,-46.0333,43.9,84,34,5.57,GL,1691345267
85,thompson,55.7435,-97.8558,67.39,50,85,11.43,CA,1691345410
86,pisco,-13.7,-76.2167,69.85,73,0,10.36,PE,1691345411
87,oneonta,42.4529,-75.0638,83.8,59,38,3.24,US,1691345411
88,port douglas,-16.4833,145.4667,67.03,83,23,12.01,AU,1691345411
89,mingshui,36.7167,117.5,69.89,85,43,3.24,CN,1691345411
90,bethel,41.3712,-73.414,83.35,52,20,3.44,US,1691345319
91,aktau,43.65,51.2,86.58,42,0,8.75,KZ,1691345412
92,cabo san lucas,22.8909,-109.9124,89.06,82,75,13.8,MX,1691345349
93,cooper's town,26.8667,-77.5167,86.14,74,8,10.47,BS,1691345412
94,lorengau,-2.0226,147.2712,80.53,77,100,15.88,PG,1691345412
95,labrador city,52.9463,-66.9114,52.14,96,100,7.2,CA,1691345410
96,utrik,11.2278,169.8474,82.67,78,83,13.98,MH,1691345412
97,heihe,50.2441,127.4902,52.38,57,59,2.91,CN,1691345413
98,blackmans bay,-43.0167,147.3167,41.52,93,11,4.81,AU,1691345246
99,queenstown,-31.8976,26.8753,58.14,30,2,7.29,ZA,1691345413
100,nikolayevsk-on-amure,53.1406,140.73,53.91,63,4,4.09,RU,1691345413
101,dondo,-19.6094,34.7431,65.55,88,27,4.83,MZ,1691345413
102,gdov,58.7406,27.8122,77.59,64,8,9.91,RU,1691345414
103,polyarnyy,69.1989,33.4478,56.35,71,13,5.53,RU,1691345414
104,mundra,22.85,69.7333,81.81,84,99,23.44,IN,1691345356
105,taltal,-25.4,-70.4833,64.6,68,3,8.41,CL,1691345334
106,aykhal,66.0,111.5,52.75,65,98,8.1,RU,1691345280
107,mata-utu,-13.2816,-176.1745,80.76,80,28,4.56,WF,1691345358
108,yuzhno-kurilsk,44.0306,145.8556,57.11,96,100,5.32,RU,1691345414
109,kavaratti,10.5669,72.642,82.94,74,11,18.9,IN,1691345415
110,salbris,47.4242,2.0512,69.51,61,88,5.44,FR,1691345415
111,vilyuysk,63.7553,121.6247,55.99,71,66,5.41,RU,1691345323
112,bereznik,62.8551,42.7072,67.19,76,82,1.86,RU,1691345415
113,kruisfontein,-34.0033,24.7314,55.89,88,8,6.87,ZA,1691345415
114,saint-philippe,-21.3585,55.7679,69.39,82,81,16.96,RE,1691345416
115,kapuskasing,49.4169,-82.4331,77.09,43,100,9.22,CA,1691345124
116,san patricio,28.017,-97.5169,99.32,41,14,15.88,US,1691345416
117,hermanus,-34.4187,19.2345,51.8,88,7,2.15,ZA,1691345417
118,pujili,-0.95,-78.6833,61.48,63,75,18.41,EC,1691345417
119,udachny,66.4167,112.4,50.45,75,77,7.94,RU,1691345417
120,carnarvon,-24.8667,113.6333,68.61,74,12,6.13,AU,1691345334
121,codrington,-38.2667,141.9667,42.89,89,6,3.87,AU,1691345417
122,georgetown,5.4112,100.3354,82.33,83,20,0.0,MY,1691345269
123,suwayr,30.1171,40.3893,90.66,12,0,12.5,SA,1691345418
124,vorgashor,67.5833,63.95,64.67,89,39,6.93,RU,1691345418
125,palikir - national government center,6.9248,158.1611,75.94,100,100,0.0,FM,1691345418
126,susuman,62.7833,148.1667,38.39,95,100,5.95,RU,1691345277
127,port lincoln,-34.7333,135.8667,51.04,76,47,8.52,AU,1691345419
128,ambodifotatra,-16.9833,49.85,73.62,76,100,15.19,MG,1691345419
129,chonchi,-42.6128,-73.8092,51.12,66,43,3.24,CL,1691345270
130,ciudad melchor muzquiz,27.8833,-101.5167,96.19,36,1,9.44,MX,1691345419
131,ust-tsilma,65.441,52.1498,61.5,96,15,5.06,RU,1691345318
132,fort mcmurray,56.7268,-111.381,67.59,63,0,3.44,CA,1691345185
133,stornoway,58.2093,-6.3865,59.09,82,75,1.99,GB,1691345420
134,mokhsogollokh,61.4681,128.9203,57.87,59,66,0.89,RU,1691345420
135,margaret river,-33.95,115.0667,51.19,78,15,7.07,AU,1691345420
136,at-bashi,41.1702,75.8106,59.5,49,98,2.1,KG,1691345177
137,madaoua,14.073,5.96,88.45,50,94,11.07,NE,1691345421
138,farafangana,-22.8167,47.8333,67.12,86,43,9.01,MG,1691345421
139,el nido,11.1858,119.3956,81.93,79,37,11.7,PH,1691345421
140,ovalle,-30.5983,-71.2003,65.32,56,86,2.62,CL,1691345421
141,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,100,40,6.71,RU,1691345421
142,gamba,-2.65,10.0,71.02,84,47,6.13,GA,1691345421
143,dickinson,29.4608,-95.0513,104.02,54,40,13.8,US,1691344923
144,invercargill,-46.4,168.35,42.03,96,88,5.01,NZ,1691344945
145,sangonera la verde,37.9286,-1.2079,89.04,53,0,4.0,ES,1691345422
146,ketchikan,55.3422,-131.6461,68.47,77,0,12.66,US,1691345422
147,inhambane,-23.865,35.3833,65.89,71,6,6.64,MZ,1691345422
148,coruche,38.9595,-8.5252,101.7,15,0,14.9,PT,1691345422
149,vila franca do campo,37.7167,-25.4333,75.61,64,75,1.59,PT,1691345423
150,kadom,54.5592,42.4675,71.2,73,0,6.87,RU,1691345423
151,red wing,44.5625,-92.5338,71.1,83,75,3.44,US,1691345158
152,floro,61.5996,5.0328,62.67,63,20,9.22,NO,1691345423
153,lerwick,60.1545,-1.1494,55.4,71,93,6.29,GB,1691345347
154,tolanaro,-25.0319,46.9987,69.66,76,46,16.04,MG,1691345423
155,lewiston orchards,46.3804,-116.9754,78.51,51,20,6.91,US,1691345424
156,lubang,13.8584,120.124,83.3,80,79,22.08,PH,1691345424
157,jamestown,42.097,-79.2353,85.01,49,0,12.66,US,1691345156
158,labytnangi,66.6572,66.4183,68.54,60,2,3.18,RU,1691345424
159,chui,-33.6971,-53.4616,77.49,54,96,10.98,UY,1691345424
160,vila velha,-20.3297,-40.2925,78.75,66,20,16.11,BR,1691345425
161,essaouira,31.5125,-9.77,70.36,85,15,10.25,MA,1691345425
162,merizo village,13.2658,144.6691,79.36,97,97,5.03,GU,1691345425
163,saint-pierre,-21.3393,55.4781,69.48,78,100,27.63,RE,1691345426
164,basco,20.4487,121.9702,82.13,89,86,27.49,PH,1691345426
165,grovetown,33.4504,-82.1982,94.77,56,20,8.05,US,1691345365
166,kashmar,35.2383,58.4656,86.94,26,52,2.59,IR,1691345426
